Aggelos Biboudis
Aleksey Shipilëv
Alexey Abashev
Alex Snaps
Alvaro Hernández
Andres Almiray
Andrew Haley
Angela Caicedo
Anton Arhipov
Anton Epple
Attila Szegedi
Azeem Jiva
Azul Systems
Ben Evans
Brendan Gregg
Carl Dea
Cédric Champeau
Charles Nutter
Charlie Hunt
Chen Fishbein
Chris Richardson
Christoph Engelbert
Christos Manios
Chris Vest
Colin Vipurs
Dalibor Topic
Daniel Bryant
Daniel Shaya
Darach Ennis
David Gomez
David Hill
Dierk König
Dimitra Konstantinidou
Dmitry Vyazelenko
Donald Smith
Fabian Lange
Felix Bembrick
Fran Buontempo
Geertjan Wielenga
Gerrit Grunwald
Giannis Ledakis
Giannis Skitsas
Gil Tene
Giorgos Saslis
Gleb Smirnov
GluonHQ
Graham Allan
Gregor Koukkoullis
Guillaume Darmont
Heather VanCura
Heinz Kabutz
Herman Lintvelt
Higher Frequency Trading
HotSpot Compiler Team
Ian Phillips
Ignasi Marimon-Clos
Ivan Krylov
Jan Kotek
Jaroslav Tulach
Jasper Potts
jClarity
JCrete unattendees
Jeanette Winzenburg
Jean-Philippe BEMPEL
Jens Deters
Jesper Udby
Jim Graham
Jim Laskey
Jim Weaver
Johan Vos
John Davies
John Kostaras
John Rose
Jonathan Giles
Jon Davey
José Pereda
Kaushik Srenevasan
Kelly Sommers
Ken Fogel
Kevin Rushforth
Kirk Pepperdine
Kostas Tzonas
Kris Mok
Kyle Kingsbury
Lamine Bourib
London Java Community
Mani Sarkar
Marc Hoffmann
Marcus Hirt
Marcus Lagergren
Marek Nowicki
Mario Fusco
Mario Torre
Mark Heckler
Martijn Verburg
Martin Thompson
Masimo Calderoni
Mattias Karlsson
Matt Schuetze
Maurice Naftalin
Maxi Kabutz
Maz Rashid
Melissa McKay
Michael Heinrichs
Miguel Ángel Pastor
Mike Tallent
Nicolas Lorain
Nitsan Wakart
Norman Maurer
Oleg Šelajev
OpenJFX Team
Patricia Dugan
Peter Lawrey
Peter Pilgrim
Philip Aston
Pierre Laporte
Rabea Gransberger
Rafael Winterhalter
Remi Forax
Richard Bair
Richard Warburton
Rob Austin
Robert Krüger
RoboVM
Roman Kennke
Roman Leventov
Rory O'Donnell
Ruben Badaró
Serkan Özal
Simon Maple
Stephen Chin
Stephen Northover
Steve Gury
Steven Schaefer
Sven Reimers
Sven Ruppert
Talip Ozturk
Thomas Darimont
Thomas Wuerthinger
Trask Stalnaker
Trisha Gee
Trustin Lee
Uberto Barbini
Uros Djunisijevic
Vitaly Davidovich
Vladimir Ivanov
Vladimir Koslov
Vladimir Kozlov
Xerxes Rånby
Yakov Fain
Zoran Sevarac
